Genero,Edad,CCAA,Periodo,Total
Total,Todas las edades,Principado de Asturias,1985,10
Total,Todas las edades,Principado de Asturias,1984,12
Total,Todas las edades,Principado de Asturias,1983,9
Total,Todas las edades,Principado de Asturias,1982,11
Total,Todas las edades,Principado de Asturias,1981,6
Total,Todas las edades,Principado de Asturias,1980,4
Total,Todas las edades,Illes Balears,2022,6
Total,Todas las edades,Illes Balears,2021,3
Total,Todas las edades,Illes Balears,2020,5
Total,Todas las edades,Illes Balears,2019,3
Total,Todas las edades,Illes Balears,2018,3
Total,Todas las edades,Illes Balears,2017,4
Total,Todas las edades,Illes Balears,2016,0
Total,Todas las edades,Illes Balears,2015,7
Total,Todas las edades,Illes Balears,2014,2
Total,Todas las edades,Illes Balears,2013,4
Total,Todas las edades,Illes Balears,2012,1
Total,Todas las edades,Illes Balears,2011,2
Total,Todas las edades,Illes Balears,2010,8
Total,Todas las edades,Illes Balears,2009,6
Total,Todas las edades,Illes Balears,2008,4
Total,Todas las edades,Illes Balears,2007,2
Total,Todas las edades,Illes Balears,2006,7
Total,Todas las edades,Illes Balears,2005,5
Total,Todas las edades,Illes Balears,2004,9
Total,Todas las edades,Illes Balears,2003,6
Total,Todas las edades,Illes Balears,2002,2
Total,Todas las edades,Illes Balears,2001,9
Total,Todas las edades,Illes Balears,2000,1
Total,Todas las edades,Illes Balears,1999,6
Total,Todas las edades,Illes Balears,1998,4
Total,Todas las edades,Illes Balears,1997,7
Total,Todas las edades,Illes Balears,1996,1
Total,Todas las edades,Illes Balears,1995,3
Total,Todas las edades,Illes Balears,1994,4
Total,Todas las edades,Illes Balears,1993,3
Total,Todas las edades,Illes Balears,1992,1
Total,Todas las edades,Illes Balears,1991,3
Total,Todas las edades,Illes Balears,1990,4
Total,Todas las edades,Illes Balears,1989,3
Total,Todas las edades,Illes Balears,1988,4
Total,Todas las edades,Illes Balears,1987,5
Total,Todas las edades,Illes Balears,1986,2
Total,Todas las edades,Illes Balears,1985,6
Total,Todas las edades,Illes Balears,1984,3
Total,Todas las edades,Illes Balears,1983,3
Total,Todas las edades,Illes Balears,1982,8
Total,Todas las edades,Illes Balears,1981,6
Total,Todas las edades,Illes Balears,1980,11
Total,Todas las edades,Canarias,2022,8
Total,Todas las edades,Canarias,2021,5
Total,Todas las edades,Canarias,2020,5
