Genero,Edad,CCAA,Periodo,Total
Hombres,Todas las edades,Comunitat Valenciana,2011,7
Hombres,Todas las edades,Comunitat Valenciana,2010,20
Hombres,Todas las edades,Comunitat Valenciana,2009,12
Hombres,Todas las edades,Comunitat Valenciana,2008,18
Hombres,Todas las edades,Comunitat Valenciana,2007,21
Hombres,Todas las edades,Comunitat Valenciana,2006,26
Hombres,Todas las edades,Comunitat Valenciana,2005,25
Hombres,Todas las edades,Comunitat Valenciana,2004,15
Hombres,Todas las edades,Comunitat Valenciana,2003,17
Hombres,Todas las edades,Comunitat Valenciana,2002,12
Hombres,Todas las edades,Comunitat Valenciana,2001,18
Hombres,Todas las edades,Comunitat Valenciana,2000,14
Hombres,Todas las edades,Comunitat Valenciana,1999,12
Hombres,Todas las edades,Comunitat Valenciana,1998,8
Hombres,Todas las edades,Comunitat Valenciana,1997,24
Hombres,Todas las edades,Comunitat Valenciana,1996,7
Hombres,Todas las edades,Comunitat Valenciana,1995,8
Hombres,Todas las edades,Comunitat Valenciana,1994,25
Hombres,Todas las edades,Comunitat Valenciana,1993,16
Hombres,Todas las edades,Comunitat Valenciana,1992,20
Hombres,Todas las edades,Comunitat Valenciana,1991,6
Hombres,Todas las edades,Comunitat Valenciana,1990,7
Hombres,Todas las edades,Comunitat Valenciana,1989,11
Hombres,Todas las edades,Comunitat Valenciana,1988,10
Hombres,Todas las edades,Comunitat Valenciana,1987,8
Hombres,Todas las edades,Comunitat Valenciana,1986,12
Hombres,Todas las edades,Comunitat Valenciana,1985,12
Hombres,Todas las edades,Comunitat Valenciana,1984,12
Hombres,Todas las edades,Comunitat Valenciana,1983,20
Hombres,Todas las edades,Comunitat Valenciana,1982,8
Hombres,Todas las edades,Comunitat Valenciana,1981,12
Hombres,Todas las edades,Comunitat Valenciana,1980,15
Hombres,Todas las edades,Extremadura,2022,6
Hombres,Todas las edades,Extremadura,2021,2
Hombres,Todas las edades,Extremadura,2020,5
Hombres,Todas las edades,Extremadura,2019,2
Hombres,Todas las edades,Extremadura,2018,2
Hombres,Todas las edades,Extremadura,2017,1
Hombres,Todas las edades,Extremadura,2016,3
Hombres,Todas las edades,Extremadura,2015,7
Hombres,Todas las edades,Extremadura,2014,5
Hombres,Todas las edades,Extremadura,2013,1
Hombres,Todas las edades,Extremadura,2012,3
Hombres,Todas las edades,Extremadura,2011,1
Hombres,Todas las edades,Extremadura,2010,4
Hombres,Todas las edades,Extremadura,2009,5
Hombres,Todas las edades,Extremadura,2008,1
Hombres,Todas las edades,Extremadura,2007,3
Hombres,Todas las edades,Extremadura,2006,3
Hombres,Todas las edades,Extremadura,2005,1
Hombres,Todas las edades,Extremadura,2004,2
Hombres,Todas las edades,Extremadura,2003,1
Hombres,Todas las edades,Extremadura,2002,3
Hombres,Todas las edades,Extremadura,2001,1
Hombres,Todas las edades,Extremadura,2000,2
Hombres,Todas las edades,Extremadura,1999,0
Hombres,Todas las edades,Extremadura,1998,3
Hombres,Todas las edades,Extremadura,1997,5
Hombres,Todas las edades,Extremadura,1996,1
Hombres,Todas las edades,Extremadura,1995,1
Hombres,Todas las edades,Extremadura,1994,2
Hombres,Todas las edades,Extremadura,1993,2
Hombres,Todas las edades,Extremadura,1992,2
Hombres,Todas las edades,Extremadura,1991,9
Hombres,Todas las edades,Extremadura,1990,2
Hombres,Todas las edades,Extremadura,1989,3
Hombres,Todas las edades,Extremadura,1988,2
Hombres,Todas las edades,Extremadura,1987,6
Hombres,Todas las edades,Extremadura,1986,2
Hombres,Todas las edades,Extremadura,1985,2
Hombres,Todas las edades,Extremadura,1984,3
Hombres,Todas las edades,Extremadura,1983,8
Hombres,Todas las edades,Extremadura,1982,5
Hombres,Todas las edades,Extremadura,1981,4
Hombres,Todas las edades,Extremadura,1980,5
Hombres,Todas las edades,Galicia,2022,11
Hombres,Todas las edades,Galicia,2021,8
Hombres,Todas las edades,Galicia,2020,5
Hombres,Todas las edades,Galicia,2019,13
Hombres,Todas las edades,Galicia,2018,4
Hombres,Todas las edades,Galicia,2017,7
Hombres,Todas las edades,Galicia,2016,6
Hombres,Todas las edades,Galicia,2015,11
Hombres,Todas las edades,Galicia,2014,3
Hombres,Todas las edades,Galicia,2013,4
Hombres,Todas las edades,Galicia,2012,13
Hombres,Todas las edades,Galicia,2011,8
Hombres,Todas las edades,Galicia,2010,9
Hombres,Todas las edades,Galicia,2009,13
Hombres,Todas las edades,Galicia,2008,22
Hombres,Todas las edades,Galicia,2007,8
Hombres,Todas las edades,Galicia,2006,18
Hombres,Todas las edades,Galicia,2005,9
Hombres,Todas las edades,Galicia,2004,10
Hombres,Todas las edades,Galicia,2003,10
Hombres,Todas las edades,Galicia,2002,10
Hombres,Todas las edades,Galicia,2001,11
Hombres,Todas las edades,Galicia,2000,16
Hombres,Todas las edades,Galicia,1999,12
Hombres,Todas las edades,Galicia,1998,15
Hombres,Todas las edades,Galicia,1997,18
Hombres,Todas las edades,Galicia,1996,12
Hombres,Todas las edades,Galicia,1995,11
Hombres,Todas las edades,Galicia,1994,18
Hombres,Todas las edades,Galicia,1993,7
Hombres,Todas las edades,Galicia,1992,18
Hombres,Todas las edades,Galicia,1991,16
Hombres,Todas las edades,Galicia,1990,17
Hombres,Todas las edades,Galicia,1989,26
Hombres,Todas las edades,Galicia,1988,7
Hombres,Todas las edades,Galicia,1987,15
Hombres,Todas las edades,Galicia,1986,15
Hombres,Todas las edades,Galicia,1985,14
Hombres,Todas las edades,Galicia,1984,18
Hombres,Todas las edades,Galicia,1983,23
Hombres,Todas las edades,Galicia,1982,14
Hombres,Todas las edades,Galicia,1981,10
Hombres,Todas las edades,Galicia,1980,21
Hombres,Todas las edades,Comunidad de Madrid,2022,13
Hombres,Todas las edades,Comunidad de Madrid,2021,7
Hombres,Todas las edades,Comunidad de Madrid,2020,9
Hombres,Todas las edades,Comunidad de Madrid,2019,10
Hombres,Todas las edades,Comunidad de Madrid,2018,10
Hombres,Todas las edades,Comunidad de Madrid,2017,4
Hombres,Todas las edades,Comunidad de Madrid,2016,4
Hombres,Todas las edades,Comunidad de Madrid,2015,3
Hombres,Todas las edades,Comunidad de Madrid,2014,9
Hombres,Todas las edades,Comunidad de Madrid,2013,6
Hombres,Todas las edades,Comunidad de Madrid,2012,1
Hombres,Todas las edades,Comunidad de Madrid,2011,5
Hombres,Todas las edades,Comunidad de Madrid,2010,2
Hombres,Todas las edades,Comunidad de Madrid,2009,8
Hombres,Todas las edades,Comunidad de Madrid,2008,8
Hombres,Todas las edades,Comunidad de Madrid,2007,10
Hombres,Todas las edades,Comunidad de Madrid,2006,2
Hombres,Todas las edades,Comunidad de Madrid,2005,6
Hombres,Todas las edades,Comunidad de Madrid,2004,9
Hombres,Todas las edades,Comunidad de Madrid,2003,12
Hombres,Todas las edades,Comunidad de Madrid,2002,9
Hombres,Todas las edades,Comunidad de Madrid,2001,15
Hombres,Todas las edades,Comunidad de Madrid,2000,12
Hombres,Todas las edades,Comunidad de Madrid,1999,8
Hombres,Todas las edades,Comunidad de Madrid,1998,7
Hombres,Todas las edades,Comunidad de Madrid,1997,12
Hombres,Todas las edades,Comunidad de Madrid,1996,10
Hombres,Todas las edades,Comunidad de Madrid,1995,9
Hombres,Todas las edades,Comunidad de Madrid,1994,11
Hombres,Todas las edades,Comunidad de Madrid,1993,19
Hombres,Todas las edades,Comunidad de Madrid,1992,24
Hombres,Todas las edades,Comunidad de Madrid,1991,21
Hombres,Todas las edades,Comunidad de Madrid,1990,10
Hombres,Todas las edades,Comunidad de Madrid,1989,9
Hombres,Todas las edades,Comunidad de Madrid,1988,7
Hombres,Todas las edades,Comunidad de Madrid,1987,17
Hombres,Todas las edades,Comunidad de Madrid,1986,3
Hombres,Todas las edades,Comunidad de Madrid,1985,24
Hombres,Todas las edades,Comunidad de Madrid,1984,21
Hombres,Todas las edades,Comunidad de Madrid,1983,66
Hombres,Todas las edades,Comunidad de Madrid,1982,14
Hombres,Todas las edades,Comunidad de Madrid,1981,20
Hombres,Todas las edades,Comunidad de Madrid,1980,24
Hombres,Todas las edades,Región de Murcia,2022,8
Hombres,Todas las edades,Región de Murcia,2021,5
Hombres,Todas las edades,Región de Murcia,2020,4
Hombres,Todas las edades,Región de Murcia,2019,6
Hombres,Todas las edades,Región de Murcia,2018,1
Hombres,Todas las edades,Región de Murcia,2017,3
Hombres,Todas las edades,Región de Murcia,2016,1
Hombres,Todas las edades,Región de Murcia,2015,3
Hombres,Todas las edades,Región de Murcia,2014,2
Hombres,Todas las edades,Región de Murcia,2013,5
Hombres,Todas las edades,Región de Murcia,2012,0
Hombres,Todas las edades,Región de Murcia,2011,5
Hombres,Todas las edades,Región de Murcia,2010,4
Hombres,Todas las edades,Región de Murcia,2009,5
Hombres,Todas las edades,Región de Murcia,2008,2
Hombres,Todas las edades,Región de Murcia,2007,1
Hombres,Todas las edades,Región de Murcia,2006,5
Hombres,Todas las edades,Región de Murcia,2005,1
Hombres,Todas las edades,Región de Murcia,2004,7
Hombres,Todas las edades,Región de Murcia,2003,7
Hombres,Todas las edades,Región de Murcia,2002,2
Hombres,Todas las edades,Región de Murcia,2001,5
Hombres,Todas las edades,Región de Murcia,2000,5
Hombres,Todas las edades,Región de Murcia,1999,2
Hombres,Todas las edades,Región de Murcia,1998,4
Hombres,Todas las edades,Región de Murcia,1997,6
Hombres,Todas las edades,Región de Murcia,1996,2
Hombres,Todas las edades,Región de Murcia,1995,5
Hombres,Todas las edades,Región de Murcia,1994,4
Hombres,Todas las edades,Región de Murcia,1993,5
Hombres,Todas las edades,Región de Murcia,1992,7
Hombres,Todas las edades,Región de Murcia,1991,7
Hombres,Todas las edades,Región de Murcia,1990,1
Hombres,Todas las edades,Región de Murcia,1989,3
Hombres,Todas las edades,Región de Murcia,1988,3
Hombres,Todas las edades,Región de Murcia,1987,3
Hombres,Todas las edades,Región de Murcia,1986,4
Hombres,Todas las edades,Región de Murcia,1985,1
Hombres,Todas las edades,Región de Murcia,1984,3
Hombres,Todas las edades,Región de Murcia,1983,6
Hombres,Todas las edades,Región de Murcia,1982,4
Hombres,Todas las edades,Región de Murcia,1981,5
Hombres,Todas las edades,Región de Murcia,1980,8
Hombres,Todas las edades,Comunidad Foral de Navarra,2022,2
Hombres,Todas las edades,Comunidad Foral de Navarra,2021,3
Hombres,Todas las edades,Comunidad Foral de Navarra,2020,3
Hombres,Todas las edades,Comunidad Foral de Navarra,2019,0
Hombres,Todas las edades,Comunidad Foral de Navarra,2018,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2017,0
Hombres,Todas las edades,Comunidad Foral de Navarra,2016,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2015,2
Hombres,Todas las edades,Comunidad Foral de Navarra,2014,0
Hombres,Todas las edades,Comunidad Foral de Navarra,2013,0
Hombres,Todas las edades,Comunidad Foral de Navarra,2012,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2011,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2010,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2009,0
Hombres,Todas las edades,Comunidad Foral de Navarra,2008,3
Hombres,Todas las edades,Comunidad Foral de Navarra,2007,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2006,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2005,2
Hombres,Todas las edades,Comunidad Foral de Navarra,2004,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2003,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2002,1
Hombres,Todas las edades,Comunidad Foral de Navarra,2001,2
Hombres,Todas las edades,Comunidad Foral de Navarra,2000,2
Hombres,Todas las edades,Comunidad Foral de Navarra,1999,2
Hombres,Todas las edades,Comunidad Foral de Navarra,1998,3
Hombres,Todas las edades,Comunidad Foral de Navarra,1997,1
Hombres,Todas las edades,Comunidad Foral de Navarra,1996,2
Hombres,Todas las edades,Comunidad Foral de Navarra,1995,2
Hombres,Todas las edades,Comunidad Foral de Navarra,1994,1
Hombres,Todas las edades,Comunidad Foral de Navarra,1993,2
Hombres,Todas las edades,Comunidad Foral de Navarra,1992,0
Hombres,Todas las edades,Comunidad Foral de Navarra,1991,2
Hombres,Todas las edades,Comunidad Foral de Navarra,1990,0
Hombres,Todas las edades,Comunidad Foral de Navarra,1989,1
Hombres,Todas las edades,Comunidad Foral de Navarra,1988,0
Hombres,Todas las edades,Comunidad Foral de Navarra,1987,3
Hombres,Todas las edades,Comunidad Foral de Navarra,1986,0
Hombres,Todas las edades,Comunidad Foral de Navarra,1985,0
Hombres,Todas las edades,Comunidad Foral de Navarra,1984,5
Hombres,Todas las edades,Comunidad Foral de Navarra,1983,1
Hombres,Todas las edades,Comunidad Foral de Navarra,1982,2
Hombres,Todas las edades,Comunidad Foral de Navarra,1981,0
Hombres,Todas las edades,Comunidad Foral de Navarra,1980,3
Hombres,Todas las edades,País Vasco,2022,6
Hombres,Todas las edades,País Vasco,2021,5
Hombres,Todas las edades,País Vasco,2020,3
Hombres,Todas las edades,País Vasco,2019,6
Hombres,Todas las edades,País Vasco,2018,4
Hombres,Todas las edades,País Vasco,2017,11
Hombres,Todas las edades,País Vasco,2016,5
Hombres,Todas las edades,País Vasco,2015,6
Hombres,Todas las edades,País Vasco,2014,5
Hombres,Todas las edades,País Vasco,2013,3
Hombres,Todas las edades,País Vasco,2012,6
Hombres,Todas las edades,País Vasco,2011,1
Hombres,Todas las edades,País Vasco,2010,8
Hombres,Todas las edades,País Vasco,2009,2
Hombres,Todas las edades,País Vasco,2008,3
Hombres,Todas las edades,País Vasco,2007,8
Hombres,Todas las edades,País Vasco,2006,6
Hombres,Todas las edades,País Vasco,2005,7
Hombres,Todas las edades,País Vasco,2004,6
Hombres,Todas las edades,País Vasco,2003,3
Hombres,Todas las edades,País Vasco,2002,4
Hombres,Todas las edades,País Vasco,2001,9
Hombres,Todas las edades,País Vasco,2000,4
Hombres,Todas las edades,País Vasco,1999,6
Hombres,Todas las edades,País Vasco,1998,7
Hombres,Todas las edades,País Vasco,1997,6
Hombres,Todas las edades,País Vasco,1996,4
Hombres,Todas las edades,País Vasco,1995,4
Hombres,Todas las edades,País Vasco,1994,5
Hombres,Todas las edades,País Vasco,1993,9
Hombres,Todas las edades,País Vasco,1992,6
Hombres,Todas las edades,País Vasco,1991,2
Hombres,Todas las edades,País Vasco,1990,1
Hombres,Todas las edades,País Vasco,1989,7
Hombres,Todas las edades,País Vasco,1988,4
Hombres,Todas las edades,País Vasco,1987,5
Hombres,Todas las edades,País Vasco,1986,6
Hombres,Todas las edades,País Vasco,1985,5
Hombres,Todas las edades,País Vasco,1984,10
Hombres,Todas las edades,País Vasco,1983,4
Hombres,Todas las edades,País Vasco,1982,5
Hombres,Todas las edades,País Vasco,1981,9
Hombres,Todas las edades,País Vasco,1980,7
Hombres,Todas las edades,La Rioja,2022,1
Hombres,Todas las edades,La Rioja,2021,0
Hombres,Todas las edades,La Rioja,2020,1
Hombres,Todas las edades,La Rioja,2019,2
Hombres,Todas las edades,La Rioja,2018,1
Hombres,Todas las edades,La Rioja,2017,1
Hombres,Todas las edades,La Rioja,2016,2
Hombres,Todas las edades,La Rioja,2015,0
Hombres,Todas las edades,La Rioja,2014,0
Hombres,Todas las edades,La Rioja,2013,0
Hombres,Todas las edades,La Rioja,2012,0
Hombres,Todas las edades,La Rioja,2011,1
Hombres,Todas las edades,La Rioja,2010,0
Hombres,Todas las edades,La Rioja,2009,1
Hombres,Todas las edades,La Rioja,2008,3
Hombres,Todas las edades,La Rioja,2007,1
Hombres,Todas las edades,La Rioja,2006,0
Hombres,Todas las edades,La Rioja,2005,1
Hombres,Todas las edades,La Rioja,2004,1
Hombres,Todas las edades,La Rioja,2003,0
Hombres,Todas las edades,La Rioja,2002,3
Hombres,Todas las edades,La Rioja,2001,1
Hombres,Todas las edades,La Rioja,2000,3
Hombres,Todas las edades,La Rioja,1999,0
Hombres,Todas las edades,La Rioja,1998,1
Hombres,Todas las edades,La Rioja,1997,1
Hombres,Todas las edades,La Rioja,1996,1
Hombres,Todas las edades,La Rioja,1995,1
Hombres,Todas las edades,La Rioja,1994,2
Hombres,Todas las edades,La Rioja,1993,2
Hombres,Todas las edades,La Rioja,1992,0
Hombres,Todas las edades,La Rioja,1991,0
Hombres,Todas las edades,La Rioja,1990,3
Hombres,Todas las edades,La Rioja,1989,1
Hombres,Todas las edades,La Rioja,1988,0
Hombres,Todas las edades,La Rioja,1987,2
Hombres,Todas las edades,La Rioja,1986,1
Hombres,Todas las edades,La Rioja,1985,1
Hombres,Todas las edades,La Rioja,1984,0
Hombres,Todas las edades,La Rioja,1983,0
Hombres,Todas las edades,La Rioja,1982,0
Hombres,Todas las edades,La Rioja,1981,1
Hombres,Todas las edades,La Rioja,1980,0
Hombres,Todas las edades,Ceuta,2022,0
Hombres,Todas las edades,Ceuta,2021,1
Hombres,Todas las edades,Ceuta,2020,0
Hombres,Todas las edades,Ceuta,2019,0
Hombres,Todas las edades,Ceuta,2018,0
Hombres,Todas las edades,Ceuta,2017,0
Hombres,Todas las edades,Ceuta,2016,0
Hombres,Todas las edades,Ceuta,2015,0
Hombres,Todas las edades,Ceuta,2014,0
Hombres,Todas las edades,Ceuta,2013,0
Hombres,Todas las edades,Ceuta,2012,0
Hombres,Todas las edades,Ceuta,2011,1
Hombres,Todas las edades,Ceuta,2010,0
Hombres,Todas las edades,Ceuta,2009,0
Hombres,Todas las edades,Ceuta,2008,0
Hombres,Todas las edades,Ceuta,2007,0
Hombres,Todas las edades,Ceuta,2006,0
Hombres,Todas las edades,Ceuta,2005,0
Hombres,Todas las edades,Ceuta,2004,0
Hombres,Todas las edades,Ceuta,2003,0
Hombres,Todas las edades,Ceuta,2002,0
Hombres,Todas las edades,Ceuta,2001,1
Hombres,Todas las edades,Ceuta,2000,1
Hombres,Todas las edades,Ceuta,1999,0
Hombres,Todas las edades,Ceuta,1998,0
Hombres,Todas las edades,Ceuta,1997,0
Hombres,Todas las edades,Ceuta,1996,0
Hombres,Todas las edades,Ceuta,1995,1
Hombres,Todas las edades,Ceuta,1994,0
Hombres,Todas las edades,Ceuta,1993,0
Hombres,Todas las edades,Ceuta,1992,0
Hombres,Todas las edades,Ceuta,1991,2
Hombres,Todas las edades,Ceuta,1990,0
Hombres,Todas las edades,Ceuta,1989,0
Hombres,Todas las edades,Ceuta,1988,0
Hombres,Todas las edades,Ceuta,1987,0
Hombres,Todas las edades,Ceuta,1986,0
Hombres,Todas las edades,Ceuta,1985,0
Hombres,Todas las edades,Ceuta,1984,0
Hombres,Todas las edades,Ceuta,1983,0
Hombres,Todas las edades,Ceuta,1982,1
Hombres,Todas las edades,Ceuta,1981,0
Hombres,Todas las edades,Ceuta,1980,1
Hombres,Todas las edades,Melilla,2022,0
Hombres,Todas las edades,Melilla,2021,0
Hombres,Todas las edades,Melilla,2020,0
Hombres,Todas las edades,Melilla,2019,0
Hombres,Todas las edades,Melilla,2018,0
Hombres,Todas las edades,Melilla,2017,1
Hombres,Todas las edades,Melilla,2016,0
Hombres,Todas las edades,Melilla,2015,0
Hombres,Todas las edades,Melilla,2014,0
Hombres,Todas las edades,Melilla,2013,0
Hombres,Todas las edades,Melilla,2012,0
Hombres,Todas las edades,Melilla,2011,4
Hombres,Todas las edades,Melilla,2010,0
Hombres,Todas las edades,Melilla,2009,0
Hombres,Todas las edades,Melilla,2008,0
Hombres,Todas las edades,Melilla,2007,0
Hombres,Todas las edades,Melilla,2006,0
Hombres,Todas las edades,Melilla,2005,1
Hombres,Todas las edades,Melilla,2004,1
Hombres,Todas las edades,Melilla,2003,0
Hombres,Todas las edades,Melilla,2002,0
Hombres,Todas las edades,Melilla,2001,0
Hombres,Todas las edades,Melilla,2000,0
Hombres,Todas las edades,Melilla,1999,0
Hombres,Todas las edades,Melilla,1998,0
Hombres,Todas las edades,Melilla,1997,0
Hombres,Todas las edades,Melilla,1996,0
Hombres,Todas las edades,Melilla,1995,0
Hombres,Todas las edades,Melilla,1994,0
Hombres,Todas las edades,Melilla,1993,1
Hombres,Todas las edades,Melilla,1992,0
Hombres,Todas las edades,Melilla,1991,0
Hombres,Todas las edades,Melilla,1990,0
Hombres,Todas las edades,Melilla,1989,0
Hombres,Todas las edades,Melilla,1988,0
Hombres,Todas las edades,Melilla,1987,0
Hombres,Todas las edades,Melilla,1986,0
Hombres,Todas las edades,Melilla,1985,0
Hombres,Todas las edades,Melilla,1984,0
Hombres,Todas las edades,Melilla,1983,2
Hombres,Todas las edades,Melilla,1982,0
Hombres,Todas las edades,Melilla,1981,0
Hombres,Todas las edades,Melilla,1980,0
Mujeres,Todas las edades,Andalucía,2022,20
Mujeres,Todas las edades,Andalucía,2021,17
Mujeres,Todas las edades,Andalucía,2020,10
Mujeres,Todas las edades,Andalucía,2019,8
Mujeres,Todas las edades,Andalucía,2018,13
Mujeres,Todas las edades,Andalucía,2017,22
Mujeres,Todas las edades,Andalucía,2016,14
Mujeres,Todas las edades,Andalucía,2015,12
Mujeres,Todas las edades,Andalucía,2014,16
Mujeres,Todas las edades,Andalucía,2013,6
Mujeres,Todas las edades,Andalucía,2012,12
Mujeres,Todas las edades,Andalucía,2011,6
Mujeres,Todas las edades,Andalucía,2010,19
Mujeres,Todas las edades,Andalucía,2009,9
Mujeres,Todas las edades,Andalucía,2008,18
Mujeres,Todas las edades,Andalucía,2007,12
Mujeres,Todas las edades,Andalucía,2006,16
Mujeres,Todas las edades,Andalucía,2005,15
Mujeres,Todas las edades,Andalucía,2004,16
Mujeres,Todas las edades,Andalucía,2003,18
Mujeres,Todas las edades,Andalucía,2002,18
Mujeres,Todas las edades,Andalucía,2001,18
Mujeres,Todas las edades,Andalucía,2000,13
Mujeres,Todas las edades,Andalucía,1999,18
Mujeres,Todas las edades,Andalucía,1998,12
Mujeres,Todas las edades,Andalucía,1997,8
Mujeres,Todas las edades,Andalucía,1996,16
Mujeres,Todas las edades,Andalucía,1995,13
Mujeres,Todas las edades,Andalucía,1994,19
Mujeres,Todas las edades,Andalucía,1993,10
Mujeres,Todas las edades,Andalucía,1992,26
Mujeres,Todas las edades,Andalucía,1991,24
Mujeres,Todas las edades,Andalucía,1990,16
Mujeres,Todas las edades,Andalucía,1989,20
Mujeres,Todas las edades,Andalucía,1988,19
Mujeres,Todas las edades,Andalucía,1987,13
Mujeres,Todas las edades,Andalucía,1986,15
Mujeres,Todas las edades,Andalucía,1985,25
Mujeres,Todas las edades,Andalucía,1984,19
Mujeres,Todas las edades,Andalucía,1983,27
Mujeres,Todas las edades,Andalucía,1982,22
Mujeres,Todas las edades,Andalucía,1981,25
Mujeres,Todas las edades,Andalucía,1980,34
Mujeres,Todas las edades,Aragón,2022,2
Mujeres,Todas las edades,Aragón,2021,1
Mujeres,Todas las edades,Aragón,2020,1
Mujeres,Todas las edades,Aragón,2019,2
Mujeres,Todas las edades,Aragón,2018,0
Mujeres,Todas las edades,Aragón,2017,1
Mujeres,Todas las edades,Aragón,2016,2
Mujeres,Todas las edades,Aragón,2015,7
Mujeres,Todas las edades,Aragón,2014,1
Mujeres,Todas las edades,Aragón,2013,1
Mujeres,Todas las edades,Aragón,2012,0
Mujeres,Todas las edades,Aragón,2011,4
Mujeres,Todas las edades,Aragón,2010,5
Mujeres,Todas las edades,Aragón,2009,1
Mujeres,Todas las edades,Aragón,2008,6
Mujeres,Todas las edades,Aragón,2007,1
Mujeres,Todas las edades,Aragón,2006,2
Mujeres,Todas las edades,Aragón,2005,4
Mujeres,Todas las edades,Aragón,2004,3
Mujeres,Todas las edades,Aragón,2003,3
Mujeres,Todas las edades,Aragón,2002,1
Mujeres,Todas las edades,Aragón,2001,1
Mujeres,Todas las edades,Aragón,2000,0
Mujeres,Todas las edades,Aragón,1999,2
Mujeres,Todas las edades,Aragón,1998,3
Mujeres,Todas las edades,Aragón,1997,2
Mujeres,Todas las edades,Aragón,1996,1
Mujeres,Todas las edades,Aragón,1995,2
Mujeres,Todas las edades,Aragón,1994,0
Mujeres,Todas las edades,Aragón,1993,4
Mujeres,Todas las edades,Aragón,1992,1
Mujeres,Todas las edades,Aragón,1991,1
Mujeres,Todas las edades,Aragón,1990,20
Mujeres,Todas las edades,Aragón,1989,3
Mujeres,Todas las edades,Aragón,1988,1
Mujeres,Todas las edades,Aragón,1987,5
Mujeres,Todas las edades,Aragón,1986,3
Mujeres,Todas las edades,Aragón,1985,4
Mujeres,Todas las edades,Aragón,1984,1
Mujeres,Todas las edades,Aragón,1983,2
Mujeres,Todas las edades,Aragón,1982,3
Mujeres,Todas las edades,Aragón,1981,2
Mujeres,Todas las edades,Aragón,1980,5
Mujeres,Todas las edades,Principado de Asturias,2022,3
Mujeres,Todas las edades,Principado de Asturias,2021,2
Mujeres,Todas las edades,Principado de Asturias,2020,0
Mujeres,Todas las edades,Principado de Asturias,2019,2
Mujeres,Todas las edades,Principado de Asturias,2018,1
Mujeres,Todas las edades,Principado de Asturias,2017,0
Mujeres,Todas las edades,Principado de Asturias,2016,6
Mujeres,Todas las edades,Principado de Asturias,2015,4
Mujeres,Todas las edades,Principado de Asturias,2014,7
Mujeres,Todas las edades,Principado de Asturias,2013,2
Mujeres,Todas las edades,Principado de Asturias,2012,2
Mujeres,Todas las edades,Principado de Asturias,2011,3
Mujeres,Todas las edades,Principado de Asturias,2010,2
Mujeres,Todas las edades,Principado de Asturias,2009,2
Mujeres,Todas las edades,Principado de Asturias,2008,2
Mujeres,Todas las edades,Principado de Asturias,2007,4
Mujeres,Todas las edades,Principado de Asturias,2006,4
Mujeres,Todas las edades,Principado de Asturias,2005,2
Mujeres,Todas las edades,Principado de Asturias,2004,3
Mujeres,Todas las edades,Principado de Asturias,2003,4
Mujeres,Todas las edades,Principado de Asturias,2002,1
Mujeres,Todas las edades,Principado de Asturias,2001,5
Mujeres,Todas las edades,Principado de Asturias,2000,2
Mujeres,Todas las edades,Principado de Asturias,1999,2
Mujeres,Todas las edades,Principado de Asturias,1998,4
Mujeres,Todas las edades,Principado de Asturias,1997,7
Mujeres,Todas las edades,Principado de Asturias,1996,4
Mujeres,Todas las edades,Principado de Asturias,1995,0
Mujeres,Todas las edades,Principado de Asturias,1994,5
Mujeres,Todas las edades,Principado de Asturias,1993,7
Mujeres,Todas las edades,Principado de Asturias,1992,1
Mujeres,Todas las edades,Principado de Asturias,1991,6
Mujeres,Todas las edades,Principado de Asturias,1990,4
Mujeres,Todas las edades,Principado de Asturias,1989,3
Mujeres,Todas las edades,Principado de Asturias,1988,1
Mujeres,Todas las edades,Principado de Asturias,1987,6
Mujeres,Todas las edades,Principado de Asturias,1986,6
Mujeres,Todas las edades,Principado de Asturias,1985,2
Mujeres,Todas las edades,Principado de Asturias,1984,8
Mujeres,Todas las edades,Principado de Asturias,1983,5
Mujeres,Todas las edades,Principado de Asturias,1982,4
Mujeres,Todas las edades,Principado de Asturias,1981,4
Mujeres,Todas las edades,Principado de Asturias,1980,4
Mujeres,Todas las edades,Illes Balears,2022,2
Mujeres,Todas las edades,Illes Balears,2021,2
Mujeres,Todas las edades,Illes Balears,2020,2
Mujeres,Todas las edades,Illes Balears,2019,0
Mujeres,Todas las edades,Illes Balears,2018,0
Mujeres,Todas las edades,Illes Balears,2017,3
Mujeres,Todas las edades,Illes Balears,2016,0
Mujeres,Todas las edades,Illes Balears,2015,0
Mujeres,Todas las edades,Illes Balears,2014,1
Mujeres,Todas las edades,Illes Balears,2013,1
Mujeres,Todas las edades,Illes Balears,2012,0
Mujeres,Todas las edades,Illes Balears,2011,1
Mujeres,Todas las edades,Illes Balears,2010,0
Mujeres,Todas las edades,Illes Balears,2009,1
Mujeres,Todas las edades,Illes Balears,2008,3
Mujeres,Todas las edades,Illes Balears,2007,0
Mujeres,Todas las edades,Illes Balears,2006,3
